id	keyword	question	sentence
11	word1	1001	word1 of 1001
12	word1	1002	word1 of 1002
13	word1	1003	word1 of 1003
21	word2	1001	word2 of 1001
22	word2	1002	word2 of 1002
23	word2	1003	word2 of 1003
31	word3	1001	word3 of 1001
32	word3	1002	word3 of 1002
33	word3	1003	word3 of 1003
41	word4	1001	word4 of 1001
42	word4	1002	word4 of 1002
43	word4	1003	word4 of 1003
51	word5	1001	word5 of 1001
52	word5	1002	word5 of 1002
53	word5	1003	word5 of 1003
61	word6	1001	word6 of 1001
62	word6	1002	word6 of 1002
71	word7	1001	word7 of 1001
72	word7	1002	word7 of 1002
81	word8	1001	word8 of 1001
82	word8	1002	word8 of 1002
91	word9	1001	word9 of 1001
92	word9	1002	word9 of 1002
101	word10	1001	word10 of 1001
103	word10	1003	word10 of 1003
111	word11	1001	word11 of 1001
113	word11	1003	word11 of 1003
121	word12	1001	word12 of 1001
123	word12	1003	word12 of 1003
134	word13	1004	word13 of 1004
144	word14	1004	word14 of 1004
154	word15	1004	word15 of 1004
164	word16	1004	word16 of 1004
174	word17	1004	word17 of 1004
